SKU,Price_Today
SKU001,37.81
SKU002,17.94
SKU003,27
SKU004,25.21
SKU005,54.07
SKU006,1.8
SKU007,19.58
SKU008,11.29
SKU009,6.84
SKU010,8.21
SKU011,11.15
SKU012,12.92
SKU013,25.79
SKU014,26.63
SKU015,32.47
SKU016,26.36
SKU017,0.71
SKU018,14.48
SKU019,23.59
SKU020,5.6
SKU021,17.64
SKU022,16.6
SKU023,15.63
SKU024,11.23
SKU025,20.4
SKU026,34.79
SKU027,17.98
SKU028,11.9
SKU029,28.75
SKU030,25
SKU031,34.55
SKU032,3.58
SKU033,36.02
SKU034,11.03
SKU035,5.03
SKU036,21.19
SKU037,74.8
SKU038,35.75
SKU039,22.97
SKU040,14.78
SKU041,16.44
SKU042,14.72
SKU043,51.5
SKU044,20.22
SKU045,8.77
SKU046,18.85
SKU047,22.37
SKU048,5.71
SKU049,5.7
SKU050,5.48
SKU051,3.17
SKU052,11
SKU053,17.01
SKU054,30.1
SKU055,23.96
SKU056,9.87
SKU057,32.03
SKU058,21.51
SKU059,34.62
SKU060,4.25
SKU061,8.95
SKU062,2.51
SKU063,47.39
SKU064,15.31
SKU065,25.66
SKU066,19.38
SKU067,16.1
SKU068,13.52
SKU069,7.92
SKU070,28.65
SKU071,25.93
SKU072,23.3
SKU073,1.7
SKU074,3.6
SKU075,18.98
SKU076,1.01
SKU077,15.04
SKU078,19.8
SKU079,49.87
SKU080,4.06
SKU081,56
SKU082,18.18
SKU083,17.99
SKU084,2.23
SKU085,57.25
SKU086,8.61
SKU087,9.38
SKU088,8.81
SKU089,15.36
SKU090,7.9
SKU091,17.57
SKU092,7.49
SKU093,39.8
SKU094,1.57
SKU095,3.55
SKU096,9.58
SKU097,14.26
SKU098,23.56
SKU099,55.6
SKU100,11.98
SKU101,65.12
SKU102,20.92
SKU103,2.11
SKU104,28.26
SKU105,37.66
SKU106,2.63
SKU107,21.94
SKU108,2.11
SKU109,51.18
SKU110,3
SKU111,37.2
SKU112,4.91
SKU113,6.67
SKU114,13.36
SKU115,18.94
SKU116,52.06
SKU117,44.29
SKU118,20.57
SKU119,29.97
